City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,mbanza-ngungu,-5.25,14.8667,20.6,98,100,0.73,CD,1706671209
330,manacapuru,-3.2997,-60.6206,26.2,83,91,3.01,BR,1706671210
331,atherton,53.5237,-2.4935,3.57,92,95,0.89,GB,1706671210
332,nar'yan-mar,67.6713,53.087,-6.05,92,72,4.92,RU,1706671210
333,puerto madryn,-42.7692,-65.0385,24.31,54,0,4.79,AR,1706671210
334,chernomorskoye,45.5039,32.6997,1.8,74,81,4.27,UA,1706671210
335,sur,22.5667,59.5289,23.05,74,100,2.05,OM,1706671211
336,iskateley,67.6803,53.1512,-6.1,92,71,4.92,RU,1706671211
337,kyaikkami,16.08,97.5675,25.35,72,0,2.47,MM,1706671211
338,lincoln city,44.9582,-124.0179,14.98,92,100,0.89,US,1706671131
339,eastham,41.8301,-69.9739,-1.99,69,100,1.54,US,1706671211
340,laojunmiao,39.8333,97.7333,-4.73,32,100,4.7,CN,1706671211
341,pandan,14.0453,124.1694,27.34,70,99,7.51,PH,1706671212
342,edd,13.9297,41.6925,24.62,88,94,4.18,ER,1706670976
343,dondo,-19.6094,34.7431,26.73,87,0,1.6,MZ,1706671212
344,punta de bombon,-17.1717,-71.7931,22.59,84,100,2.41,PE,1706671212
345,tofol,5.3248,163.0078,27.96,77,100,8.21,FM,1706671212
346,santa vitoria,-18.8386,-50.1214,24.77,45,97,0.46,BR,1706671213
347,kudahuvadhoo,2.6708,72.8944,25.87,83,97,1.56,MV,1706671152
348,savannakhet,16.566,104.751,28.01,69,40,1.03,LA,1706671213
349,shakawe,-18.3667,21.85,19.52,90,100,2.31,BW,1706671213
350,geraldton,-28.7667,114.6,43.23,13,0,7.72,AU,1706671213
351,maceio,-9.6658,-35.7353,24.69,94,20,1.54,BR,1706671213
352,harrismith,-28.2728,29.1295,15.69,82,95,3.69,ZA,1706671214
353,myitkyina,25.3833,97.4,18.9,47,16,1.34,MM,1706671214
354,petukhovo,55.0692,67.9019,-21.81,100,68,3.1,RU,1706671214
355,valparaiso,-33.0393,-71.6273,19.71,76,40,2.06,CL,1706671205
356,umiray,15.2206,121.4111,25.34,81,80,6.91,PH,1706671214
357,bethlehem,-1.4558,-48.5044,27.02,89,0,2.06,BR,1706671214
358,tucuma,-0.1833,-50.05,24.74,90,89,2.31,BR,1706670981
359,krnov,50.0897,17.7039,1.79,74,100,4.36,CZ,1706671215
